"home";"away";"home_win_probability";"draw_probability";"away_win_probability";"team_to_win_prediction";"average_goals_prediction";"weather_in_degrees";"odds";"full_time_score";"score_at_halftime";"date";"time";"home_team_score_prediction";"away_team_score_prediction";"home_team_full_time_score";"away_team_full_time_score";"home_team_halftime_score";"away_team_halftime_score";"prediction_result";"day_of_week";"month";"weekly_round";"home_team_pos";"home_team_matches_played";"home_team_wins";"home_team_draws";"home_team_losses";"home_team_gf";"home_team_ga";"home_team_ppg_last_5_matches";"home_team_points";"away_team_pos";"away_team_matches_played";"away_team_wins";"away_team_draws";"away_team_losses";"away_team_gf";"away_team_ga";"away_team_ppg_last_5_matches";"away_team_points"
14;1;25.0;23.0;52.0;1;3.27;"23°";1.4;"FT 0 - 1";"(0 - 1)";"2024-05-12 00:00:00";"15:30:00";1;3;0;1;0;1;1;6;5;37;6;35;17;5;13;78;56;2.4;56;1;36;26;5;5;88;28;2.4;83
9;13;15.0;19.0;65.0;1;3.19;"21°";1.25;"FT 0 - 4";"(0 - 1)";"2024-05-11 00:00:00";"11:30:00";1;3;0;4;0;1;1;5;5;37;13;36;12;8;16;51;55;1.0;44;2;35;25;7;3;87;33;3.0;82
19;13;27.0;23.0;50.0;1;2.95;"15°";1.33;"FT 0 - 2";"(0 - 0)";"2024-05-14 00:00:00";"19:00:00";1;2;0;2;0;0;1;1;5;37;5;35;18;6;11;69;58;0.6;60;2;35;25;7;3;87;33;3.0;82
2;12;28.0;37.0;35.0;2;3.24;"15°";4.2;"FT 3 - 3";"(1 - 2)";"2024-05-13 00:00:00";"19:00:00";2;2;3;3;1;2;1;0;5;37;4;36;20;7;9;73;53;1.6;67;3;36;23;9;4;81;38;1.4;78
14;15;37.0;32.0;31.0;0;2.92;"16°";2.63;"FT 3 - 2";"(1 - 0)";"2024-05-15 00:00:00";"19:00:00";2;1;3;2;1;0;1;2;5;37;6;35;17;5;13;78;56;2.4;56;7;35;15;9;11;70;59;2.0;54
25;6;21.0;31.0;48.0;1;3.3;"21°";1.95;"FT 2 - 3";"(1 - 1)";"2024-05-11 00:00:00";"16:30:00";1;3;2;3;1;1;1;5;5;37;17;36;8;9;19;45;63;0.8;29;8;35;16;6;13;52;55;1.2;54
4;6;27.0;37.0;36.0;2;2.3;"16°";4.0;"FT 1 - 2";"(0 - 1)";"2024-05-15 00:00:00";"18:45:00";1;1;1;2;0;1;0;2;5;37;12;36;13;7;16;49;60;0.8;46;8;35;16;6;13;52;55;1.2;54
15;4;44.0;32.0;23.0;0;2.82;"21°";1.5;"FT 1 - 1";"(1 - 1)";"2024-05-11 00:00:00";"14:00:00";2;1;1;1;1;1;0;5;5;37;7;35;15;9;11;70;59;2.0;54;12;36;13;7;16;49;60;0.8;46
22;7;30.0;33.0;37.0;1;2.25;"21°";2.45;"FT 1 - 3";"(0 - 2)";"2024-05-11 00:00:00";"14:00:00";0;2;1;3;0;2;1;5;5;37;11;36;12;11;12;53;57;0.8;47;14;36;11;10;15;49;57;2.6;43
3;23;34.0;37.0;29.0;2;2.3;"17°";3.8;"FT 1 - 2";"(0 - 0)";"2024-05-11 00:00:00";"14:00:00";1;1;1;2;0;0;0;5;5;37;10;36;13;9;14;52;63;1.4;48;16;36;9;9;18;52;60;1.4;36
20;21;62.0;25.0;13.0;0;3.38;"21°";1.75;"FT 3 - 1";"(0 - 1)";"2024-05-11 00:00:00";"14:00:00";2;1;3;1;0;1;1;5;5;37;9;36;13;10;13;56;70;0.8;49;18;36;6;8;22;49;78;0.8;26
19;5;61.0;23.0;16.0;0;3.5;"21°";1.33;"FT 2 - 1";"(1 - 1)";"2024-05-11 00:00:00";"14:00:00";3;1;2;1;1;1;1;5;5;37;5;35;18;6;11;69;58;0.6;60;19;36;5;9;22;39;74;1.0;24
4;2;22.0;36.0;42.0;1;2.96;"12°";2.55;"FT 1 - 0";"(0 - 0)";"2024-05-05 00:00:00";"13:00:00";1;2;1;0;0;0;0;6;5;36;12;34;11;11;12;52;57;0.4;44;4;35;20;7;8;73;52;1.6;67
6;19;37.0;34.0;29.0;0;3.95;"15°";2.15;"FT 2 - 0";"(1 - 0)";"2024-05-02 00:00:00";"18:30:00";3;1;2;0;1;0;1;3;5;36;8;34;14;9;11;65;59;1.6;51;5;34;18;6;10;67;54;0.8;60
12;19;43.0;35.0;21.0;0;3.17;"17°";1.5;"FT 4 - 2";"(2 - 0)";"2024-05-05 00:00:00";"15:30:00";2;1;4;2;2;0;1;6;5;36;3;35;22;9;4;77;36;1.0;75;5;34;18;6;10;67;54;0.8;60
7;14;25.0;35.0;40.0;1;3.53;"13°";2.7;"FT 4 - 0";"(2 - 0)";"2024-05-06 00:00:00";"19:00:00";1;2;4;0;2;0;0;0;5;36;14;35;10;10;15;45;57;2.0;40;6;34;16;6;12;52;51;1.2;54
5;15;21.0;26.0;53.0;1;1.9;"11°";1.95;"FT 1 - 4";"(0 - 3)";"2024-05-04 00:00:00";"14:00:00";0;1;1;4;0;3;1;5;5;36;19;35;5;9;21;38;70;1.2;24;7;34;16;5;13;74;55;2.0;53
6;20;39.0;38.0;23.0;0;2.53;"15°";1.65;"FT 5 - 0";"(3 - 0)";"2024-05-05 00:00:00";"13:00:00";2;1;5;0;3;0;1;6;5;36;8;34;14;9;11;65;59;1.6;51;9;35;13;10;12;56;65;1.0;49
1;3;56.0;23.0;21.0;0;3.18;"17°";1.22;"FT 3 - 0";"(1 - 0)";"2024-05-04 00:00:00";"11:30:00";3;1;3;0;1;0;1;5;5;36;1;35;25;5;5;85;28;2.4;80;10;35;13;9;13;52;60;1.4;48
13;22;56.0;28.0;16.0;0;4.19;"13°";1.11;"FT 5 - 1";"(3 - 0)";"2024-05-04 00:00:00";"16:30:00";3;0;5;1;3;0;1;5;5;36;2;34;24;7;3;82;32;3.0;79;11;35;13;7;15;48;55;0.8;46
23;9;42.0;35.0;23.0;0;2.41;"14°";2.1;"FT 0 - 0";"(0 - 0)";"2024-05-04 00:00:00";"14:00:00";2;0;0;0;0;0;0;5;5;36;16;35;9;8;18;52;60;1.6;35;13;35;12;7;16;51;55;0.8;43
21;8;30.0;27.0;43.0;1;3.88;"9°";2.4;"FT 1 - 1";"(1 - 1)";"2024-05-03 00:00:00";"19:00:00";1;2;1;1;1;1;0;4;5;36;18;35;6;7;22;48;77;0.6;25;15;35;12;8;15;37;48;2.4;36
